work_id,title,description,genre_1,genre_2,genre_3,author,year,url
1,Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Adventure,Animation,Children|Comedy|Fantasy,John Lasseter,1995,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX67_CR0,0,67,98_AL_.jpg"
2,Jumanji,"Four teens are pulled into a magical video game, facing dangerous challenges in a jungle to escape and survive together.",Adventure,Children,Fantasy,Joe Johnston,1995,https://m.media-amazon.com/images/I/91gMfB-mlaL.__AC_SX300_SY300_QL70_ML2_.jpg
3,Grumpier Old Men,,Comedy,Romance,,,1995,
4,Waiting to Exhale,,Comedy,Drama,Romance,,1995,
5,Father of the Bride Part II,,Comedy,,,,1995,
6,Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Action,Crime,Thriller,Michael Mann,1995,"https://m.media-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,Sabrina,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",Comedy,Romance,,Billy Wilder,1995,"https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
8,Tom and Huck,,Adventure,Children,,,1995,
9,Sudden Death,,Action,,,,1995,
10,GoldenEye,,Action,Adventure,Thriller,,1995,
11,"American President, The",,Comedy,Drama,Romance,,1995,
12,Dracula: Dead and Loving It,,Comedy,Horror,,,1995,
13,Balto,,Adventure,Animation,Children,,1995,
14,Nixon,,Drama,,,,1995,
15,Cutthroat Island,,Action,Adventure,Romance,,1995,
16,Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Crime,Drama,,Martin Scorsese,1995,"https://m.media-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
17,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Drama,Romance,,Ang Lee,1995,"https://m.media-amazon.com/images/M/MV5BNzk1MjU3MDQyMl5BMl5BanBnXkFtZTcwNjc1OTM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
18,Four Rooms,,Comedy,,,,1995,
19,Ace Ventura: When Nature Calls,,Comedy,,,,1995,
20,Money Train,,Action,Comedy,Crime|Drama|Thriller,,1995,
21,Get Shorty,,Comedy,Crime,Thriller,,1995,
22,Copycat,,Crime,Drama,Horror|Mystery|Thriller,,1995,
23,Assassins,,Action,Crime,Thriller,,1995,
24,Powder,,Drama,Sci-Fi,,,1995,
25,Leaving Las Vegas,,Drama,Romance,,,1995,
26,Othello,,Drama,,,,1995,
27,Now and Then,,Children,Drama,,,1995,
28,Persuasion,,Drama,Romance,,,1995,
29,"City of Lost Children, The (Cité des enfants perdus, La)",,Adventure,Drama,Fantasy|Mystery|Sci-Fi,,1995,
30,Shanghai Triad (Yao a yao yao dao waipo qiao),,Crime,Drama,,,1995,
31,Dangerous Minds,,Drama,,,,1995,
32,Twelve Monkeys (a.k.a. 12 Monkeys),,Mystery,Sci-Fi,Thriller,,1995,
33,Wings of Courage,,Adventure,Romance,IMAX,,1995,
34,Babe,,Children,Drama,,,1995,
35,Carrington,,Drama,Romance,,,1995,
36,Dead Man Walking,,Crime,Drama,,,1995,
39,Clueless,,Comedy,Romance,,,1995,
40,"Cry, the Beloved Country",,Drama,,,,1995,
41,Richard III,,Drama,War,,,1995,
42,Dead Presidents,,Action,Crime,Drama,,1995,
43,Restoration,,Drama,,,,1995,
44,Mortal Kombat,,Action,Adventure,Fantasy,,1995,
45,To Die For,,Comedy,Drama,Thriller,,1995,
46,How to Make an American Quilt,,Drama,Romance,,,1995,
47,Seven (a.k.a. Se7en),,Mystery,Thriller,,,1995,
48,Pocahontas,,Animation,Children,Drama|Musical|Romance,,1995,
49,When Night Is Falling,,Drama,Romance,,,1995,
50,"Usual Suspects, The",,Crime,Mystery,Thriller,,1995,
52,Mighty Aphrodite,,Comedy,Drama,Romance,,1995,
53,Lamerica,,Adventure,Drama,,,1994,
54,"Big Green, The",,Children,Comedy,,,1995,
55,Georgia,,Drama,,,,1995,
57,Home for the Holidays,,Drama,,,,1995,
58,"Postman, The (Postino, Il)",,Comedy,Drama,Romance,,1994,
59,"Confessional, The (Confessionnal, Le)",,Drama,Mystery,,,1995,
60,"Indian in the Cupboard, The",,Adventure,Children,Fantasy,,1995,
61,Eye for an Eye,,Drama,Thriller,,,1996,
62,Mr. Holland's Opus,,Drama,,,,1995,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,Comedy,Crime,,,1996,
64,Two if by Sea,,Comedy,Romance,,,1996,
65,Bio-Dome,,Comedy,,,,1996,
66,Lawnmower Man 2: Beyond Cyberspace,,Action,Sci-Fi,Thriller,,1996,
68,French Twist (Gazon maudit),,Comedy,Romance,,,1995,
69,Friday,,Comedy,,,,1995,
