user_id,work_id,total_purchases
1,1005,2
1,1006,2
2,1020,10
2,1021,16
2,1022,20
3,1008,8
3,1009,12
4,1020,6
5,1020,8
6,1020,6
7,1021,6
8,1021,4
9,1021,8
10,1021,10
11,1023,2
12,1023,2
13,1024,2
14,1024,2
15,1024,2
16,1025,2
17,1026,4
18,1027,2
19,1028,2
20,1029,2
21,1030,4
22,1031,4
23,1038,4
24,1039,4
25,1040,2
26,1041,4
27,1042,2
28,1043,4
29,1044,4
30,1045,4
31,1046,2
32,1047,2
33,1048,2
34,1049,2
35,1050,2
36,1051,2
37,1052,2
38,1053,2
39,1054,2
40,1055,2
41,1056,2
42,1058,2
43,1059,2
44,1060,2
45,1061,2
46,1062,2
47,1063,2
48,1064,2
49,1066,2
50,1067,1
50,1068,1
51,1069,3
52,1070,1
53,1071,1
54,1072,1
55,1073,1
56,1084,3
57,1087,1
58,1089,1
59,1092,3
60,1093,1
61,1094,1
62,1095,4
63,1096,1
64,1097,1
65,1098,1
66,1100,2
67,1101,2
68,1102,2
69,1103,2
70,1105,2
71,1106,4
72,1107,2
73,1108,2
74,1109,2
75,1110,2
76,1111,2
77,1112,2
78,1113,2
79,1114,2
80,1115,2
81,1117,2
82,1118,6
83,1119,2
84,1121,2
85,1123,2
86,1124,4
87,1125,2
88,1126,2
89,1127,4
90,1128,2
91,1147,2
92,1148,4
93,1149,2
94,1150,2
